"","Tumor_1","Tumor_2","Tumor_3","Tumor_4","Tumor_5","Normal_1","Normal_2","Normal_3","Normal_4","Normal_5"
"ENSG00000006047.13",381,503,1389,1128,1036,190,419,170,94,198
"ENSG00000006059.4",4,0,6,0,0,23,0,6,3,24
"ENSG00000006062.17",344,918,242,398,1130,1421,272,1039,1749,1865
"ENSG00000006071.15",101,1693,3057,846,1,392,13,992,339,939
"ENSG00000006116.4",1,0,0,0,0,0,1,0,0,0
"ENSG00000006118.15",8373,4044,3855,26698,7124,1574,144,2896,1487,2925
"ENSG00000006125.18",28930,38946,88476,14805,45885,13234,6829,14230,20847,14214
"ENSG00000006128.12",15,4,2,15,0,56,0,11,151,525
"ENSG00000006194.10",2886,3736,1694,3997,2578,1832,846,2007,2238,2330
"ENSG00000006210.7",1339,4834,1064,973,4563,17338,2466,25189,36450,30116
"ENSG00000006282.21",3903,7558,4514,4788,2223,1500,982,1932,2161,5437
"ENSG00000006283.18",108,18,33,28,40,21,19,39,159,204
"ENSG00000006327.14",3508,2972,93,4363,5326,2371,89,822,4816,10488
"ENSG00000006377.11",1,0,4,1,69,0,2,6,0,4
"ENSG00000006432.15",1035,2810,2206,334,2386,870,99,872,819,521
"ENSG00000006451.8",9216,3358,6033,3777,5940,2518,2440,2787,3227,3075
"ENSG00000006453.14",831,2845,6332,1130,2617,812,156,1078,1110,1279
"ENSG00000006459.11",2622,2611,1662,283,2718,2873,1506,1758,1700,756
"ENSG00000006468.14",2144,681,475,517,262,854,132,2096,1228,1442
"ENSG00000006530.18",1835,2251,1863,1206,1068,1099,590,1022,1452,1044
"ENSG00000006534.16",2471,412,326,692,1120,524,287,475,895,1034
"ENSG00000006555.11",24,849,3,1,1153,629,8,893,889,907
"ENSG00000006576.16",3108,2335,2741,1007,2589,738,514,710,897,641
"ENSG00000006606.9",42,6,100,9,18,9,12,0,25,15
"ENSG00000006607.14",1664,5522,2058,616,3860,1609,676,1462,1815,1036
"ENSG00000006611.17",30,9,12,3,83,11,0,1,3,12
"ENSG00000006625.18",3500,2743,1429,5303,1553,1001,2371,858,1189,1320
"ENSG00000006634.8",518,1026,667,346,1287,338,181,378,340,309
"ENSG00000006638.13",149,71,309,182,183,80,144,51,97,110
"ENSG00000006652.15",264,262,354,348,1511,676,767,486,584,824
"ENSG00000006659.13",0,0,1,0,0,30,0,0,1,1
"ENSG00000006695.12",795,1558,1593,951,2606,644,747,793,920,726
"ENSG00000006704.11",2228,4132,1801,1323,1826,911,624,1421,1102,1547
